feature_group,model_name,Avg Accuracy,Std Dev Acc,Avg Precision,Std Dev Prec,Avg Recall,Std Dev Rec,Avg F1-Score,Std Dev F1
lexical,SVC_RBF,0.5632996050621234,0.03680388137322776,0.5626587453671139,0.035778768622854666,0.5708814904260825,0.034948756128818315,0.5666578454986111,0.03452821227844871
lexical,RandomForest,0.555782812995474,0.024580803481876343,0.5587464307990218,0.02607405731543577,0.5332873325283193,0.026483172917904554,0.5455343962996488,0.023910583922857446
lexical,LinearSVC,0.5541785580443368,0.03418730420313137,0.5587162090450908,0.03653084764692699,0.5193605888103041,0.027210909096437353,0.5382875520964545,0.031386611544249945
lexical,LogisticRegression,0.5541785580443368,0.03418730420313137,0.5587162090450908,0.03653084764692699,0.5193605888103041,0.027210909096437353,0.5382875520964545,0.031386611544249945
lexical,XGBoost,0.563301046441235,0.021317845758098315,0.5732885780527935,0.024740729063303487,0.5042148237594157,0.06297932931217402,0.534380949053568,0.03570234011101954
lexical,ComplementNB,,,,,,,,
semantic,Dense_Semantic_Model,0.9667401770013548,0.007477670762133113,0.9670394255569107,0.01730609458996799,0.9667299177735611,0.007050013811003806,0.9667806701773287,0.00716160054502128
syntactic,CNN_Syntactic_Model,0.5563146818876301,0.026316140723452463,0.5751979371915404,0.0422579556105534,0.4861767580932666,0.16501683870963038,0.5105355552800808,0.09120024514486733
tfidf_dense,LinearSVC,0.8063290956787454,0.021158607072717654,0.7735161487215234,0.02110657014382527,0.8669771721005117,0.03658414480451745,0.8172354782616681,0.021246923570195614
tfidf_dense,LogisticRegression,0.8041857649398946,0.016615651739060648,0.7726734521893002,0.01852574452614226,0.8626818469323213,0.03088181731906113,0.8148953456842307,0.016702563481292745
tfidf_dense,RandomForest,0.7762921963734901,0.02067016447870073,0.7500509059977516,0.024484779050403874,0.8305330343281007,0.040555586494860976,0.7875949093179347,0.021348600266475958
tfidf_dense,XGBoost,0.6630920464700625,0.011703128555593205,0.6210416947748387,0.011740623691971715,0.8379909148410096,0.019793630445252692,0.7132265484986431,0.009173055074819159
tfidf_dense,ComplementNB,,,,,,,,
tfidf_sparse,RandomForest,0.5080400126841361,0.018769330853857902,0.5067501581049397,0.020656872053756752,0.5164682881950433,0.1618902338724374,0.5015006313063388,0.08883210033431642
tfidf_sparse,LinearSVC,0.49623511776067347,0.020916865380309645,0.49521965044874816,0.021038652554002828,0.48843079753895696,0.12308057248875942,0.48631033615973374,0.06620373930844563
tfidf_sparse,LogisticRegression,0.503763440860215,0.016977678072336334,0.5030980544773648,0.01984113764530174,0.4347018572825025,0.10352019080481226,0.4623661232722943,0.059015197241551264
tfidf_sparse,ComplementNB,0.5085762057136268,0.017470347291641708,0.5111526741842682,0.022312036655003354,0.40771088494048646,0.02178439301376517,0.4533400586318379,0.01862922904108676
tfidf_sparse,XGBoost,0.5123540603649571,0.019194662492073435,0.5231030325369949,0.027173608753879273,0.3896900695762176,0.17466933745417265,0.4298978050308457,0.08570271279062368
